country,item_name,veg,non_veg,egg,vegan,quantity_type,quantity,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR,category
India,Aam Panna,0,0,0,1,ml,100,55.0,0.2,0.0,13.0,0.3,11.0,5.0,0.65,0.59,0.53,27.0,4.75,3.27,65.34,1.01,0.92,0.89,2.44,2.49,beverages
India,Aamat,0,0,0,1,g,100,70.0,2.0,3.0,9.0,2.0,1.5,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Acerola,0,0,0,1,unit,1,32.0,0.4,0.3,7.7,1.1,6.7,7.0,0.33,0.3,0.27,15.0,2.4,1.65,33.0,0.51,0.46,0.45,1.23,1.26,fruits
India,Achappam,0,0,1,0,unit,1,75.0,1.0,3.0,10.0,0.2,4.0,20.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Ackee,0,0,0,1,unit,1,151.0,2.9,15.2,0.8,2.7,0.8,240.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Adai,1,0,0,0,unit,1,140.0,5.0,3.0,22.0,3.0,0.8,130.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Adhirasam,1,0,0,0,unit,1,180.0,2.0,7.0,28.0,1.0,15.0,20.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Agathi leaves,1,0,0,0,g,100,70.51,8.01,1.35,3.95,8.6,0.23,18.12,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Akki Roti,1,0,0,0,unit,1,180.0,3.0,4.0,32.0,2.0,1.0,190.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Aktori,1,0,0,0,unit,1,150.0,3.0,4.0,24.0,1.0,3.0,60.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
United Arab Emirates,Al Harees,0,1,0,0,g,100,165.0,10.0,7.0,15.0,1.0,0.4,180.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Allathi,1,0,0,0,g,100,97.04,21.77,0.98,0.0,0.0,0.0,32.68,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Almond,1,0,0,0,g,100,609.23,18.41,58.49,2.24,13.06,2.23,1.5,1.65,6.48,5.83,180.0,51.84,35.64,712.8,11.02,10.04,9.72,26.57,27.22,nuts
,Almond Butter,0,0,0,1,g,100,614.0,21.0,56.0,19.0,10.0,4.0,5.0,1.65,6.48,5.83,180.0,51.84,35.64,712.8,11.02,10.04,9.72,26.57,27.22,nuts
India,Aloo Baingan,0,0,0,1,g,100,115.0,2.5,5.0,14.0,3.0,2.0,135.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Bhujia,0,0,0,1,g,100,550.0,6.5,35.0,51.0,3.0,2.0,700.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Fry,0,0,0,1,g,100,150.0,2.0,7.0,18.0,2.0,1.5,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Gobi,0,0,0,1,g,100,110.0,3.0,4.0,15.0,3.0,2.0,130.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Jeera,0,0,0,1,g,100,145.0,2.0,6.0,19.0,2.0,1.2,130.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Ke Gutke,0,0,0,1,g,100,140.0,2.5,6.0,18.0,2.0,1.5,160.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Matar,0,0,0,1,g,100,120.0,3.0,5.0,16.0,3.0,2.0,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Palak,0,0,0,1,g,100,105.0,3.0,4.0,14.0,3.0,1.5,130.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Aloo Paratha,1,0,0,0,unit,1,210.0,5.0,7.0,31.0,3.0,1.5,220.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Aloo Pitika,0,0,0,1,g,100,95.0,2.0,3.0,15.0,2.0,1.5,130.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Posto,1,0,0,0,g,100,160.0,3.0,9.0,16.0,3.0,1.5,140.0,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
India,Aloo Puri,1,0,0,0,unit,1,260.0,5.0,10.0,36.0,3.0,2.0,220.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
India,Aloo Tikki,1,0,0,0,unit,1,130.0,2.0,6.0,17.0,2.0,1.0,150.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Aluva,1,0,0,0,g,100,103.73,21.63,1.8,0.0,0.0,0.0,44.86,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Amanatsu Orange,0,0,0,1,unit,1,45.0,0.8,0.2,11.0,1.5,8.5,1.0,0.33,0.3,0.27,15.0,2.4,1.65,33.0,0.51,0.46,0.45,1.23,1.26,fruits
,Amaranth,1,0,0,0,g,100,24.98,3.17,0.35,0.84,5.33,0.14,15.96,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Amaranth leaves,1,0,0,0,g,100,31.87,3.44,0.6,1.06,4.64,0.25,16.07,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Amaranth seed,1,0,0,0,g,100,356.0,13.93,5.65,58.42,7.24,0.84,2.75,0.77,0.7,0.63,35.0,5.6,3.85,77.0,1.19,1.08,1.05,2.87,2.94,general
,Ambarella,0,0,0,1,unit,1,41.0,0.5,0.3,9.0,0.7,7.0,2.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
,Ambrosia Melon,0,0,0,1,unit,1,34.0,0.8,0.2,8.6,0.9,7.9,16.0,0.46,0.42,0.38,21.0,3.36,2.31,46.2,0.71,0.65,0.63,1.72,1.76,general
